"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-01",,"0.08",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-02",,"0.04",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-03",,"0.32",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-04",,"0.45",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-05",,"0.31",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-06",,"0.02",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-07",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-08",,"0.08",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-09",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-10",,"0.12",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-11",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-12",,"0.00",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-13",,"0.03",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-14",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-15",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-16",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-17",,"0.06",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-18",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-19",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-20",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-21",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-22",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-23",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-24",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-25",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-26",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-27",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-28",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-29",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-30",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-01-31",,"0.63",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-01",,"0.53",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-02",,"0.10",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-03",,"0.13",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-05",,"0.11","1.0","1.0",,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-06",,"0.69","1.5","1.5",,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-07",,"0.02",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-08",,"0.03",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-09",,"0.13",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-10",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-11",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-12",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-13",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-14",,"0.05",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-15",,"0.05",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-16",,"0.31",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-17",,"0.18",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-18",,"0.23",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-19",,"0.28",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-20",,"0.03",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-21",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-22",,"0.32",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-23",,"0.95",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-24",,"0.38",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-25",,"0.96",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-26",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-27",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-02-28",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-01",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-02",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-03",,"0.07",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-04",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-05",,"0.42",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-06",,"0.02",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-07",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-08",,"0.03",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-09",,"0.02",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-10",,"0.31",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-11",,"0.01",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-12",,"0.15",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-13",,"0.49",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-14",,"0.15",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-15",,"0.33",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-16",,"0.58",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-17",,"0.02",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-18",,"0.05",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-19",,"0.02",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-20",,"0.18",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-21",,"0.54",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-22",,"0.27",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-23",,"0.16",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-24",,"0.81",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-25",,"0.10",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-26",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-27",,"0.38",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-28",,"0.24",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-29",,"0.17",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-30",,"0.02",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-03-31",,"0.05",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-01",,"0.05",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-02",,"0.04",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-03",,"0.03",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-04",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-05",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-06",,"0.08",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-07",,"0.55",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-08",,"0.65",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-09",,"0.39",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-10",,"0.00","0.0",,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-11",,"0.32",,,,,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","2025-04-12",,"0.18",,,,,,
