,VOLUME,TAVG_Calc,PRCP,SNOW,Collision_Count_Hr,Target_Volume_1hr,Lag_Volume_1hr,Hour_of_Day,Day_of_Week
2025-01-01 01:00:00,1901.7,41.0,7.28,1.0,0,1432.05,1554.0,1,2
2025-01-01 02:00:00,1432.05,41.0,7.28,1.0,3,798.05,1901.7,2,2
2025-01-01 03:00:00,798.05,41.0,7.28,1.0,1,600.55,1432.05,3,2
2025-01-01 04:00:00,600.55,41.0,7.28,1.0,0,696.0,798.05,4,2
2025-01-01 05:00:00,696.0,41.0,7.28,1.0,1,860.55,600.55,5,2
2025-01-01 06:00:00,860.55,41.0,7.28,1.0,0,906.25,696.0,6,2
2025-01-01 07:00:00,906.25,41.0,7.28,1.0,0,1160.55,860.55,7,2
2025-01-01 08:00:00,1160.55,41.0,7.28,1.0,1,1680.6,906.25,8,2
2025-01-01 09:00:00,1680.6,41.0,7.28,1.0,0,2244.3,1160.55,9,2
2025-01-01 10:00:00,2244.3,41.0,7.28,1.0,0,2844.95,1680.6,10,2
2025-01-01 11:00:00,2844.95,41.0,7.28,1.0,0,3240.0,2244.3,11,2
2025-01-01 12:00:00,3240.0,41.0,7.28,1.0,0,3483.6,2844.95,12,2
2025-01-01 13:00:00,3483.6,41.0,7.28,1.0,0,3568.45,3240.0,13,2
2025-01-01 14:00:00,3568.45,41.0,7.28,1.0,0,3527.7,3483.6,14,2
2025-01-01 15:00:00,3527.7,41.0,7.28,1.0,0,3350.15,3568.45,15,2
2025-01-01 16:00:00,3350.15,41.0,7.28,1.0,0,3144.85,3527.7,16,2
2025-01-01 17:00:00,3144.85,41.0,7.28,1.0,0,2785.85,3350.15,17,2
2025-01-01 18:00:00,2785.85,41.0,7.28,1.0,1,2415.0,3144.85,18,2
2025-01-01 19:00:00,2415.0,41.0,7.28,1.0,0,2098.25,2785.85,19,2
2025-01-01 20:00:00,2098.25,41.0,7.28,1.0,1,1718.4,2415.0,20,2
2025-01-01 21:00:00,1718.4,41.0,7.28,1.0,0,1257.6,2098.25,21,2
2025-01-01 22:00:00,1257.6,41.0,7.28,1.0,0,806.8,1718.4,22,2
2025-01-01 23:00:00,806.8,41.0,7.28,1.0,0,515.85,1257.6,23,2
2025-01-02 00:00:00,515.85,42.0,2.77,0.0,0,337.25,806.8,0,3
2025-01-02 01:00:00,337.25,42.0,2.77,0.0,0,279.4,515.85,1,3
2025-01-02 02:00:00,279.4,42.0,2.77,0.0,0,460.2,337.25,2,3
2025-01-02 03:00:00,460.2,42.0,2.77,0.0,0,1101.8,279.4,3,3
2025-01-02 04:00:00,1101.8,42.0,2.77,0.0,0,2331.7,460.2,4,3
2025-01-02 05:00:00,2331.7,42.0,2.77,0.0,0,3250.25,1101.8,5,3
2025-01-02 06:00:00,3250.25,42.0,2.77,0.0,0,3856.05,2331.7,6,3
2025-01-02 07:00:00,3856.05,42.0,2.77,0.0,2,3867.1,3250.25,7,3
2025-01-02 08:00:00,3867.1,42.0,2.77,0.0,1,3934.6,3856.05,8,3
2025-01-02 09:00:00,3934.6,42.0,2.77,0.0,0,3918.05,3867.1,9,3
2025-01-02 10:00:00,3918.05,42.0,2.77,0.0,0,4079.9,3934.6,10,3
2025-01-02 11:00:00,4079.9,42.0,2.77,0.0,1,4382.6,3918.05,11,3
2025-01-02 12:00:00,4382.6,42.0,2.77,0.0,0,4575.35,4079.9,12,3
2025-01-02 13:00:00,4575.35,42.0,2.77,0.0,0,4766.3,4382.6,13,3
2025-01-02 14:00:00,4766.3,42.0,2.77,0.0,1,4751.3,4575.35,14,3
2025-01-02 15:00:00,4751.3,42.0,2.77,0.0,0,4714.75,4766.3,15,3
2025-01-02 16:00:00,4714.75,42.0,2.77,0.0,1,4567.15,4751.3,16,3
2025-01-02 17:00:00,4567.15,42.0,2.77,0.0,0,3661.4,4714.75,17,3
2025-01-02 18:00:00,3661.4,42.0,2.77,0.0,1,2843.95,4567.15,18,3
2025-01-02 19:00:00,2843.95,42.0,2.77,0.0,0,2415.85,3661.4,19,3
2025-01-02 20:00:00,2415.85,42.0,2.77,0.0,1,2086.8,2843.95,20,3
2025-01-02 21:00:00,2086.8,42.0,2.77,0.0,1,1683.15,2415.85,21,3
2025-01-02 22:00:00,1683.15,42.0,2.77,0.0,0,1030.1,2086.8,22,3
2025-01-02 23:00:00,1030.1,42.0,2.77,0.0,1,633.0,1683.15,23,3
2025-01-03 00:00:00,633.0,43.0,22.65,0.0,0,417.6,1030.1,0,4
2025-01-03 01:00:00,417.6,43.0,22.65,0.0,0,382.05,633.0,1,4
2025-01-03 02:00:00,382.05,43.0,22.65,0.0,0,509.35,417.6,2,4
2025-01-03 03:00:00,509.35,43.0,22.65,0.0,0,1060.6,382.05,3,4
2025-01-03 04:00:00,1060.6,43.0,22.65,0.0,0,2156.1,509.35,4,4
2025-01-03 05:00:00,2156.1,43.0,22.65,0.0,0,3059.2,1060.6,5,4
2025-01-03 06:00:00,3059.2,43.0,22.65,0.0,1,3491.25,2156.1,6,4
2025-01-03 07:00:00,3491.25,43.0,22.65,0.0,0,3644.05,3059.2,7,4
2025-01-03 08:00:00,3644.05,43.0,22.65,0.0,0,3787.2,3491.25,8,4
2025-01-03 09:00:00,3787.2,43.0,22.65,0.0,1,3857.7,3644.05,9,4
2025-01-03 10:00:00,3857.7,43.0,22.65,0.0,1,4151.4,3787.2,10,4
2025-01-03 11:00:00,4151.4,43.0,22.65,0.0,0,4327.6,3857.7,11,4
2025-01-03 12:00:00,4327.6,43.0,22.65,0.0,2,4587.7,4151.4,12,4
2025-01-03 13:00:00,4587.7,43.0,22.65,0.0,0,4679.9,4327.6,13,4
2025-01-03 14:00:00,4679.9,43.0,22.65,0.0,1,4732.45,4587.7,14,4
2025-01-03 15:00:00,4732.45,43.0,22.65,0.0,0,4669.7,4679.9,15,4
2025-01-03 16:00:00,4669.7,43.0,22.65,0.0,0,4546.45,4732.45,16,4
2025-01-03 17:00:00,4546.45,43.0,22.65,0.0,0,3967.2,4669.7,17,4
2025-01-03 18:00:00,3967.2,43.0,22.65,0.0,0,3223.8,4546.45,18,4
2025-01-03 19:00:00,3223.8,43.0,22.65,0.0,1,2676.05,3967.2,19,4
2025-01-03 20:00:00,2676.05,43.0,22.65,0.0,2,2344.25,3223.8,20,4
2025-01-03 21:00:00,2344.25,43.0,22.65,0.0,0,1822.25,2676.05,21,4
2025-01-03 22:00:00,1822.25,43.0,22.65,0.0,2,1331.9,2344.25,22,4
2025-01-03 23:00:00,1331.9,43.0,22.65,0.0,1,848.55,1822.25,23,4
2025-01-04 00:00:00,848.55,43.0,43.14,0.0,0,558.45,1331.9,0,5
2025-01-04 01:00:00,558.45,43.0,43.14,0.0,0,443.3,848.55,1,5
2025-01-04 02:00:00,443.3,43.0,43.14,0.0,1,418.7,558.45,2,5
2025-01-04 03:00:00,418.7,43.0,43.14,0.0,0,561.15,443.3,3,5
2025-01-04 04:00:00,561.15,43.0,43.14,0.0,0,883.3,418.7,4,5
2025-01-04 05:00:00,883.3,43.0,43.14,0.0,1,1354.55,561.15,5,5
2025-01-04 06:00:00,1354.55,43.0,43.14,0.0,0,1784.7,883.3,6,5
2025-01-04 07:00:00,1784.7,43.0,43.14,0.0,0,2409.2,1354.55,7,5
2025-01-04 08:00:00,2409.2,43.0,43.14,0.0,0,3177.5,1784.7,8,5
2025-01-04 09:00:00,3177.5,43.0,43.14,0.0,1,3712.95,2409.2,9,5
2025-01-04 10:00:00,3712.95,43.0,43.14,0.0,0,4118.75,3177.5,10,5
2025-01-04 11:00:00,4118.75,43.0,43.14,0.0,0,4387.45,3712.95,11,5
2025-01-04 12:00:00,4387.45,43.0,43.14,0.0,1,4447.1,4118.75,12,5
2025-01-04 13:00:00,4447.1,43.0,43.14,0.0,0,4471.65,4387.45,13,5
2025-01-04 14:00:00,4471.65,43.0,43.14,0.0,1,4452.4,4447.1,14,5
2025-01-04 15:00:00,4452.4,43.0,43.14,0.0,0,4238.5,4471.65,15,5
2025-01-04 16:00:00,4238.5,43.0,43.14,0.0,0,4180.25,4452.4,16,5
2025-01-04 17:00:00,4180.25,43.0,43.14,0.0,0,3685.05,4238.5,17,5
2025-01-04 18:00:00,3685.05,43.0,43.14,0.0,0,3032.75,4180.25,18,5
2025-01-04 19:00:00,3032.75,43.0,43.14,0.0,1,2687.15,3685.05,19,5
2025-01-04 20:00:00,2687.15,43.0,43.14,0.0,0,2446.25,3032.75,20,5
